,所在地址,小区名称,总价格,单价,房屋基本信息,房屋交易属性信息,小区均价,小区建造时间,小区建筑类型,小区楼层总数,房屋特色
0,"['江汉', '杨汊湖']",常青五垸,43,7346,"['2室1厅1卫', '58.54㎡', '平层', '板楼', '高楼层 (共7层)', '暂无数据', '暂无', '南', '混合结构', '简装', '暂无数据']","['2024年05月23日', '商品房', '2024年05月20日', '普通住宅', '未满两年', '非共有', '已上传房本照片', '20240523EZH6Q']",10879元/㎡,暂无数据,板楼/塔板结合,11栋,"[{'name': '核心卖点', 'content': '常青五垸 正规二室两厅，采光充足，视野开阔，楼上有附加'}, {'name': '小区介绍', 'content': '学府林立，书香缭绕，人文气息浓郁，区域功能划分明显，现代城市商圈心，充满着时尚和繁华的气息。 入则宁静，出则繁华 ，尽享24小时城市生活圈。'}, {'name': '周边配套', 'content': '此房所在位置繁华临汉口火车站，小区临新唐万科广场，大润发市，南国北都城市广场，中百仓储，武汉二医院，学府林立等等'}, {'name': '交通出行', 'content': '小区出门就是多路公交分别为：299路;318路;321路;535路;568路;601路;620路;628路;796路;321路，729路，512路;522路;628路;796路，距离地铁6号线杨汊湖站1100米（此数据来自高德地图），距离地铁2号线1100米（此数据来自高德地图）。'}]"
,所在地址,小区名称,总价格,单价,房屋基本信息,房屋交易属性信息,小区均价,小区建造时间,小区建筑类型,小区楼层总数,房屋特色
0,"['江汉', '杨汊湖']",常青五垸,43,7346,"['2室1厅1卫', '58.54㎡', '平层', '板楼', '高楼层 (共7层)', '暂无数据', '暂无', '南', '混合结构', '简装', '暂无数据']","['2024年05月23日', '商品房', '2024年05月20日', '普通住宅', '未满两年', '非共有', '已上传房本照片', '20240523EZH6Q']",10879元/㎡,暂无数据,板楼/塔板结合,11栋,"[{'name': '核心卖点', 'content': '常青五垸 正规二室两厅，采光充足，视野开阔，楼上有附加'}, {'name': '小区介绍', 'content': '学府林立，书香缭绕，人文气息浓郁，区域功能划分明显，现代城市商圈心，充满着时尚和繁华的气息。 入则宁静，出则繁华 ，尽享24小时城市生活圈。'}, {'name': '周边配套', 'content': '此房所在位置繁华临汉口火车站，小区临新唐万科广场，大润发市，南国北都城市广场，中百仓储，武汉二医院，学府林立等等'}, {'name': '交通出行', 'content': '小区出门就是多路公交分别为：299路;318路;321路;535路;568路;601路;620路;628路;796路;321路，729路，512路;522路;628路;796路，距离地铁6号线杨汊湖站1100米（此数据来自高德地图），距离地铁2号线1100米（此数据来自高德地图）。'}]"
1,"['蔡甸', '后官湖']",世茂龙湾八期,52,5512,"['3室2厅1卫', '94.34㎡', '平层', '板楼', '中楼层 (共27层)', '暂无数据', '暂无', '南', '钢混结构', '精装', '两梯四户', '有']","['2024年05月25日', '商品房', '2021年10月29日', '普通住宅', '满两年', '非共有', '已上传房本照片', '20240525TW2Ga']",6589元/㎡,暂无数据,板楼,10栋,"[{'name': '核心卖点', 'content': '楼层好 视野宽阔采光充足  主干道小区 出行上次方便'}, {'name': '小区介绍', 'content': '世茂开发商次新小区，2020年交付，带装修，自持物业管理良好，24小时安保服务。楼下底商基本运营中，日常生活购物可满足'}, {'name': '户型介绍', 'content': '高楼层视野好 采光充足  小三房户型 南向湖景 三开间朝南 客厅大阳台'}, {'name': '周边配套', 'content': '小区南面是后官湖湿地公园，北面是天鹅湖大道主干道，门口有公交车站，平时滴滴打车也很多，自带底商基本上都营业了，2公里左右有热闹的花博汇文旅项目。地铁3号线修建中。1公里左右集市等。'}]"
,所在地址,小区名称,总价格,单价,房屋基本信息,房屋交易属性信息,小区均价,小区建造时间,小区建筑类型,小区楼层总数,房屋特色
0,"['江汉', '杨汊湖']",常青五垸,43,7346,"['2室1厅1卫', '58.54㎡', '平层', '板楼', '高楼层 (共7层)', '暂无数据', '暂无', '南', '混合结构', '简装', '暂无数据']","['2024年05月23日', '商品房', '2024年05月20日', '普通住宅', '未满两年', '非共有', '已上传房本照片', '20240523EZH6Q']",10879元/㎡,暂无数据,板楼/塔板结合,11栋,"[{'name': '核心卖点', 'content': '常青五垸 正规二室两厅，采光充足，视野开阔，楼上有附加'}, {'name': '小区介绍', 'content': '学府林立，书香缭绕，人文气息浓郁，区域功能划分明显，现代城市商圈心，充满着时尚和繁华的气息。 入则宁静，出则繁华 ，尽享24小时城市生活圈。'}, {'name': '周边配套', 'content': '此房所在位置繁华临汉口火车站，小区临新唐万科广场，大润发市，南国北都城市广场，中百仓储，武汉二医院，学府林立等等'}, {'name': '交通出行', 'content': '小区出门就是多路公交分别为：299路;318路;321路;535路;568路;601路;620路;628路;796路;321路，729路，512路;522路;628路;796路，距离地铁6号线杨汊湖站1100米（此数据来自高德地图），距离地铁2号线1100米（此数据来自高德地图）。'}]"
1,"['蔡甸', '后官湖']",世茂龙湾八期,52,5512,"['3室2厅1卫', '94.34㎡', '平层', '板楼', '中楼层 (共27层)', '暂无数据', '暂无', '南', '钢混结构', '精装', '两梯四户', '有']","['2024年05月25日', '商品房', '2021年10月29日', '普通住宅', '满两年', '非共有', '已上传房本照片', '20240525TW2Ga']",6589元/㎡,暂无数据,板楼,10栋,"[{'name': '核心卖点', 'content': '楼层好 视野宽阔采光充足  主干道小区 出行上次方便'}, {'name': '小区介绍', 'content': '世茂开发商次新小区，2020年交付，带装修，自持物业管理良好，24小时安保服务。楼下底商基本运营中，日常生活购物可满足'}, {'name': '户型介绍', 'content': '高楼层视野好 采光充足  小三房户型 南向湖景 三开间朝南 客厅大阳台'}, {'name': '周边配套', 'content': '小区南面是后官湖湿地公园，北面是天鹅湖大道主干道，门口有公交车站，平时滴滴打车也很多，自带底商基本上都营业了，2公里左右有热闹的花博汇文旅项目。地铁3号线修建中。1公里左右集市等。'}]"
2,"['东湖高新', '关西长职']",柒零社区,55,9891,"['1室1厅1卫', '55.61㎡', '平层', '板楼', '高楼层 (共15层)', '暂无数据', '43.7㎡', '北', '钢混结构', '精装', '两梯十三户', '有']","['2024年05月25日', '商品房', '2015年05月20日', '普通住宅', '满五年', '非共有', '已上传房本照片', '20240525WX7Yv']",15063元/㎡,暂无数据,塔楼/板楼/塔板结合,15栋,"[{'name': '核心卖点', 'content': '柒零社区正规一室一厅，自住居家精装，产证满五年，看房方便'}, {'name': '周边配套', 'content': '北边雄楚大街，东有小区自带天龙路一条街，距离光谷近，南侧800米处南湖;旁边有华润苏果购物广场，星巴克，幸福蓝海国际影城；银行有：邮政，招商，农业。医院：荣军医院'}, {'name': '税费解析', 'content': '商品房，产权证满五年，无5.3%增值税，首套需缴1%契税，1%个人所得税，二套1%契税，1%个人所得税'}, {'name': '交通出行', 'content': '小区东面是民族交通：572，811，907，715，590，723，586，529， 雄楚大道旁，直达地铁杨家湾地铁站（2号线）'}]"
,所在地址,小区名称,总价格,单价,房屋基本信息,房屋交易属性信息,小区均价,小区建造时间,小区建筑类型,小区楼层总数,房屋特色
0,"['江汉', '杨汊湖']",常青五垸,43,7346,"['2室1厅1卫', '58.54㎡', '平层', '板楼', '高楼层 (共7层)', '暂无数据', '暂无', '南', '混合结构', '简装', '暂无数据']","['2024年05月23日', '商品房', '2024年05月20日', '普通住宅', '未满两年', '非共有', '已上传房本照片', '20240523EZH6Q']",10879元/㎡,暂无数据,板楼/塔板结合,11栋,"[{'name': '核心卖点', 'content': '常青五垸 正规二室两厅，采光充足，视野开阔，楼上有附加'}, {'name': '小区介绍', 'content': '学府林立，书香缭绕，人文气息浓郁，区域功能划分明显，现代城市商圈心，充满着时尚和繁华的气息。 入则宁静，出则繁华 ，尽享24小时城市生活圈。'}, {'name': '周边配套', 'content': '此房所在位置繁华临汉口火车站，小区临新唐万科广场，大润发市，南国北都城市广场，中百仓储，武汉二医院，学府林立等等'}, {'name': '交通出行', 'content': '小区出门就是多路公交分别为：299路;318路;321路;535路;568路;601路;620路;628路;796路;321路，729路，512路;522路;628路;796路，距离地铁6号线杨汊湖站1100米（此数据来自高德地图），距离地铁2号线1100米（此数据来自高德地图）。'}]"
